rank,matrix,score,error_reduction_percent,conditional_velocity_l2,null_velocity_l2,failed_captures,added_weight_bytes,added_weight_mib,reduction_percent_per_added_mib,probe_wall_seconds
1,single_blocks.12.linear1.weight,0.0015574260378962226,40.67110892729437,0.0013878255571550871,0.0015574260378962226,19,33689600,32.12890625,1.2658728128130528,107.53698469998199
2,single_blocks.11.linear1.weight,0.0025476291022193923,2.9501203772087274,0.0025476291022193923,0.0016727993798688918,19,33689600,32.12890625,0.09182137587421693,105.83398249998572
3,single_blocks.8.linear1.weight,0.002548950283798478,2.8997910286004744,0.002548950283798478,0.0016224492408859971,19,33689600,32.12890625,0.09025489402087798,107.90577380001196
4,single_blocks.14.linear1.weight,0.002569811531227277,2.105098602618035,0.002569811531227277,0.0014958791527528172,19,33689600,32.12890625,0.06552039419698687,109.10468029999174
5,single_blocks.15.linear2.weight,0.0025781198421742893,1.7886001858846763,0.0025781198421742893,0.0015873351887353148,19,24064000,22.94921875,0.07793730171684717,106.11227630000212
6,single_blocks.14.linear2.weight,0.002592352549526035,1.2464166576819204,0.002592352549526035,0.0015784746203527,19,24064000,22.94921875,0.05431194287090581,107.36208329998772
7,single_blocks.9.linear1.weight,0.0026071907049069875,0.6811690742361152,0.0026071907049069875,0.0016680870930597578,19,33689600,32.12890625,0.02120112863275933,105.83439919998636
8,single_blocks.5.linear1.weight,0.0026123686280345947,0.4839202612936917,0.0026123686280345947,0.001647467444701158,19,33689600,32.12890625,0.015061834272484507,106.09137650000048
9,single_blocks.12.linear2.weight,0.002613552533797025,0.4388203244039353,0.002613552533797025,0.0016863795432534832,19,24064000,22.94921875,0.019121362220835308,109.19295020002755
10,single_blocks.8.linear2.weight,0.002614494525929162,0.4029358925021904,0.002614494525929162,0.0016585879198033808,19,24064000,22.94921875,0.01755771718818055,107.61723889998393
11,single_blocks.3.linear1.weight,0.0026158368230728463,0.35180216346011983,0.0026158368230728463,0.0016678438636150393,19,33689600,32.12890625,0.010949708674260265,105.67963640001835
12,single_blocks.10.linear1.weight,0.002616049993296955,0.34368161539018743,0.002616049993296955,0.0016840402198793512,19,33689600,32.12890625,0.010696959700898234,100.7731885999965
